timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655554700739,5102,/category,200,OK,Weighted Load Test 5-814,text,true,,18694,182,641,652,https://api-staging-builder.engineer.ai/configurations,4856,0,1214
1655554700210,5685,/search,200,OK,Weighted Load Test 5-203,text,true,,18687,182,641,652,https://api-staging-builder.engineer.ai/configurations,5206,0,4813
1655554700468,5573,/category,200,OK,Weighted Load Test 5-542,text,true,,18699,182,640,651,https://api-staging-builder.engineer.ai/configurations,5324,0,1489
1655554700210,5831,/search,200,OK,Weighted Load Test 5-262,text,true,,18687,182,640,651,https://api-staging-builder.engineer.ai/configurations,5354,0,4811
1655554700210,5838,/category,200,OK,Weighted Load Test 5-116,text,true,,18687,182,639,650,https://api-staging-builder.engineer.ai/configurations,5355,0,3823
1655554700196,5929,/category,200,OK,Weighted Load Test 5-209,text,true,,18694,182,639,650,https://api-staging-builder.engineer.ai/configurations,5458,0,3820
1655554704802,1389,/recomendation,200,OK,Weighted Load Test 5-811,text,true,,18687,182,639,650,https://api-staging-builder.engineer.ai/configurations,1152,0,0
1655554703997,2200,/review,200,OK,Weighted Load Test 5-764,text,true,,18687,182,638,649,https://api-staging-builder.engineer.ai/configurations,1958,0,0
1655554700837,5360,/category,200,OK,Weighted Load Test 5-912,text,true,,18687,182,638,649,https://api-staging-builder.engineer.ai/configurations,5120,0,3759
1655554700879,5320,/search,200,OK,Weighted Load Test 5-953,text,true,,18687,182,638,649,https://api-staging-builder.engineer.ai/configurations,5080,0,3821
1655554704796,1403,/personalized-ads,200,OK,Weighted Load Test 5-76,text,true,,18687,182,637,648,https://api-staging-builder.engineer.ai/configurations,1165,0,0
1655554700232,5969,/category,200,OK,Weighted Load Test 5-306,text,true,,18687,182,637,648,https://api-staging-builder.engineer.ai/configurations,5732,0,1721
1655554700500,5704,/search,200,OK,Weighted Load Test 5-573,text,true,,18687,182,637,648,https://api-staging-builder.engineer.ai/configurations,5458,0,1457
1655554705164,1041,/merchant,200,OK,Weighted Load Test 5-936,text,true,,18687,182,636,647,https://api-staging-builder.engineer.ai/configurations,801,0,0
1655554705140,1065,/personalized-ads,200,OK,Weighted Load Test 5-947,text,true,,18693,182,636,647,https://api-staging-builder.engineer.ai/configurations,825,0,0
1655554700783,5424,/category,200,OK,Weighted Load Test 5-856,text,true,,18694,182,636,647,https://api-staging-builder.engineer.ai/configurations,5185,0,4775
1655554700437,5778,/product-desc,200,OK,Weighted Load Test 5-511,text,true,,18687,182,636,647,https://api-staging-builder.engineer.ai/configurations,5533,0,1589
1655554705802,502,/review,200,OK,Weighted Load Test 5-971,text,true,,18687,182,636,648,https://api-staging-builder.engineer.ai/configurations,501,0,0
